Administrative;Administrative_Duration;Informational;Informational_Duration;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;SpecialDay;Month;OperatingSystems;Browser;Region;TrafficType;VisitorType;Weekend;Revenue
0;0;0;0;9;132;0.011111111;0.033333333;0;0;Mar;4;1;1;3;Returning_Visitor;TRUE;FALSE
1;73;1;740;50;1.434.255.128;0;0.019230769;2.203.276.923;0;Mar;2;2;3;2;Returning_Visitor;TRUE;FALSE
2;154;0;0;18;367.25;0.005263158;0.044210526;0;0;Mar;3;2;2;1;Returning_Visitor;TRUE;FALSE
3;118.5;0;0;29;1.482.210.784;0.006896552;0.010600255;0;0;Mar;3;2;1;8;Returning_Visitor;TRUE;FALSE
6;153.5;0;0;34;1.048.492.063;0.011578947;0.032225685;0;0;Mar;2;6;1;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;9;478;0;0.011111111;0;0;Mar;3;2;2;3;Returning_Visitor;TRUE;FALSE
0;0;1;1220;28;2.389.333.333;0.016666667;0.030833333;0;0;Mar;2;2;1;3;Returning_Visitor;TRUE;FALSE
1;2.133.333.333;1;235;71;2.753.378.571;0.012676056;0.015201207;0;0;Mar;3;2;2;1;Returning_Visitor;TRUE;FALSE
2;191;1;100;46;2.452.582.143;0.007246377;0.022253906;0;0;Mar;3;2;9;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;8;0;0.1;0;0;Mar;2;2;5;1;Returning_Visitor;TRUE;FALSE
3;51;0;0;14;527.375;0.015555556;0.033862434;0;0;Mar;7;1;6;1;Returning_Visitor;TRUE;FALSE
1;158;1;64;29;1.916.761.905;0.006451613;0.018709677;8.772.473.118;0;Mar;2;2;3;2;Returning_Visitor;TRUE;TRUE
0;0;0;0;63;5.220.083.333;0;0.003329865;5.146.331.148;0;Mar;2;5;3;1;Returning_Visitor;TRUE;TRUE
0;0;0;0;6;236.5;0;0.016666667;0;0;Mar;1;1;1;3;Returning_Visitor;TRUE;FALSE
1;10;0;0;14;3.486.666.667;0.035714286;0.053571429;0;0;Mar;3;2;1;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;5;75.5;0.02;0.013333333;0;0;Mar;1;1;2;9;Returning_Visitor;TRUE;FALSE
4;15;0;0;10;197.2;0;0.016666667;38.99;0;Mar;1;1;1;3;Returning_Visitor;TRUE;TRUE
0;0;0;0;3;41;0;0.033333333;0;0;Mar;2;2;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;11;3.000.714.286;0;0.02;539.892;0;Mar;2;2;1;11;Returning_Visitor;TRUE;TRUE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;1;1;1;1;Returning_Visitor;TRUE;FALSE
5;2.273.333.333;0;0;17;528.9;0;0.002272727;0;0;Mar;1;1;1;9;Returning_Visitor;TRUE;FALSE
0;0;0;0;15;8.728.333.333;0;0.026666667;0;0;Mar;2;2;2;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;9;0;0.1;0;0;Mar;2;2;1;3;Returning_Visitor;TRUE;FALSE
5;86;0;0;23;267.3;0;0.016;0;0;Mar;1;1;4;9;Returning_Visitor;TRUE;FALSE
0;0;0;0;3;75;0;0.066666667;0;0;Mar;2;5;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;15;1.759.166.667;0.013333333;0.026666667;0;0;Mar;1;1;1;1;Returning_Visitor;TRUE;FALSE
1;25.May;0;0;12;2.508.333.333;0;0.016666667;0;0;Mar;3;2;2;1;Returning_Visitor;TRUE;FALSE
8;130;1;18;19;298;0;0.016666667;1.966.818.546;0;Mar;2;2;3;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;12;166;0.028571429;0.071428571;0;0;Mar;2;2;1;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;10;2.268.333.333;0;0.01;0;0;Mar;1;1;1;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;13;226;0;0.053846154;0;0;Mar;2;2;4;3;Returning_Visitor;TRUE;FALSE
2;7;0;0;27;559.4;0.014814815;0.030452675;0;0;Mar;2;4;4;3;Returning_Visitor;TRUE;FALSE
2;44.5;0;0;7;2.121.666.667;0;0.00625;0;0;Mar;3;2;1;8;New_Visitor;TRUE;FALSE
3;90;0;0;25;3.978.846.154;0.005333333;0.033504762;0;0;Mar;2;2;1;1;Returning_Visitor;TRUE;FALSE
1;6;0;0;14;5.481.857.143;0.028571429;0.02987013;0;0;Mar;3;2;3;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;3;103;0;0.022222222;0;0;Mar;1;1;1;3;Returning_Visitor;TRUE;FALSE
8;237.5;4;142;30;1.569.625;0;0.008108108;1.588.906.362;0;Mar;1;2;1;9;Returning_Visitor;TRUE;TRUE
2;190;1;0;37;7.584.428.571;0;0.010526316;0;0;Mar;1;1;6;1;Returning_Visitor;TRUE;FALSE
4;174;1;18.May;11;305.875;0;0.001709402;0;0;Mar;1;2;3;8;New_Visitor;TRUE;FALSE
3;227;0;0;2;62;0;0.025;0;0;Mar;3;2;1;10;Returning_Visitor;TRUE;FALSE
1;23;0;0;15;656.25;0.028571429;0.028571429;0;0;Mar;1;1;8;2;Returning_Visitor;TRUE;FALSE
0;0;2;39;15;245;0;0.0125;119.955.404;0;Mar;2;2;1;3;Returning_Visitor;TRUE;TRUE
0;0;0;0;3;20;0;0.066666667;0;0;Mar;2;2;2;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;1;1;1;1;Returning_Visitor;TRUE;FALSE
1;26;1;0;55;872.4;0.003508772;0.01754386;0;0;Mar;2;5;1;1;Returning_Visitor;TRUE;FALSE
2;41;0;0;7;139;0.022222222;0.055555556;0;0;Mar;2;5;6;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;5;288.5;0;0.0125;0;0;Mar;2;2;1;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;0;0.2;0.2;0;0;Mar;2;2;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;41;1546.5;0;0.008333333;0;0;Mar;3;2;1;1;Returning_Visitor;TRUE;FALSE
2;112;0;0;9;1.988.333.333;0;0.006060606;0;0;Mar;3;2;3;2;New_Visitor;TRUE;FALSE
0;0;0;0;8;181;0.075;0.1;0;0;Mar;3;2;1;13;Returning_Visitor;TRUE;FALSE
2;37;0;0;15;208.5;0;0.011764706;0;0;Mar;2;2;3;2;New_Visitor;TRUE;FALSE
0;0;0;0;31;1.759.416.667;0;0.002903226;0;0;Mar;2;2;4;2;Returning_Visitor;TRUE;FALSE
3;279;0;0;0;0;0;0.05;0;0;Mar;3;2;1;10;Returning_Visitor;TRUE;FALSE
1;17;0;0;12;616.4;0;0.018181818;0;0;Mar;1;1;3;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;5;819.5;0;0.036;0;0;Mar;2;2;1;2;Returning_Visitor;TRUE;FALSE
1;8.May;0;0;30;659.2;0;0.006451613;0;0;Mar;2;2;3;3;New_Visitor;TRUE;FALSE
0;0;0;0;5;427;0;0.04;0;0;Mar;3;3;3;9;Returning_Visitor;TRUE;FALSE
0;0;0;0;17;766.5;0;0.0125;619.395;0;Mar;2;2;1;2;New_Visitor;TRUE;TRUE
7;319.5;0;0;11;416.5;0;0.007142857;0;0;Mar;3;2;1;9;New_Visitor;TRUE;FALSE
0;0;1;132;8;445;0;0.014285714;0;0;Mar;3;2;4;14;Returning_Visitor;TRUE;FALSE
5;97.5;0;0;24;7.581.444.444;0.04;0.059846154;0;0;Mar;3;2;2;1;Returning_Visitor;TRUE;FALSE
3;3.483.333.333;0;0;30;7.098.333.333;0.026666667;0.046666667;0;0;Mar;1;1;2;1;Returning_Visitor;TRUE;FALSE
0;0;2;14;11;687.5;0.020512821;0.035897436;0;0;Mar;3;2;1;3;Returning_Visitor;TRUE;FALSE
1;77;0;0;9;312;0;0.044444444;0;0;Mar;1;1;3;3;New_Visitor;TRUE;FALSE
3;107;0;0;45;2.502.966.667;0;0.008510638;9.702.113.281;0;Mar;2;4;1;2;New_Visitor;TRUE;FALSE
0;0;0;0;4;2528;0;0.066666667;0;0;Mar;2;2;9;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;7;289.5;0;0.014285714;0;0;Mar;1;1;1;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;10;0;0.1;0;0;Mar;3;2;3;9;Returning_Visitor;TRUE;FALSE
2;25;0;0;6;65;0;0.025;0;0;Mar;2;2;1;2;New_Visitor;TRUE;FALSE
0;0;0;0;16;630.75;0;0.04047619;0;0;Mar;3;2;1;1;Returning_Visitor;TRUE;FALSE
8;359;2;954;14;336.5;0;0.005555556;0;0;Mar;3;2;7;9;Returning_Visitor;TRUE;FALSE
0;0;0;0;5;77;0;0.04;0;0;Mar;2;4;1;3;Returning_Visitor;TRUE;FALSE
5;59;0;0;3;4.466.666.667;0;0.025;0;0;Mar;2;4;6;2;Returning_Visitor;TRUE;FALSE
6;5.338.095.238;0;0;5;5.438.095.238;0;0.003571429;0;0;Mar;2;2;6;2;New_Visitor;TRUE;FALSE
6;4.658.333.333;2;71;26;1558;0.006666667;0.013333333;7.169.617.487;0;Mar;2;2;1;1;Returning_Visitor;TRUE;FALSE
9;9.764.285.714;0;0;37;5.845.958.874;0.005128205;0.013043478;0;0;Mar;2;4;1;3;Returning_Visitor;TRUE;FALSE
3;148;0;0;8;292.5;0;0.027272727;0;0;Mar;2;2;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;26;694.3;0.023076923;0.036410256;0;0;Mar;3;2;2;3;Returning_Visitor;TRUE;FALSE
1;3;0;0;3;236;0;0.025;0;0;Mar;3;2;1;3;Returning_Visitor;TRUE;FALSE
2;34;0;0;21;521.5;0.018181818;0.021212121;0;0;Mar;3;2;5;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;6;116.5;0;0.066666667;0;0;Mar;2;2;2;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;8;144;0.025;0.045833333;0;0;Mar;3;2;7;3;Returning_Visitor;TRUE;FALSE
2;38;0;0;21;733.7;0;0.014035088;0;0;Mar;2;7;1;3;Returning_Visitor;TRUE;FALSE
2;58.5;2;125;16;4.858.333.333;0;0.002222222;0;0;Mar;2;2;7;2;New_Visitor;TRUE;FALSE
0;0;0;0;3;19;0;0.066666667;0;0;Mar;2;4;1;1;Returning_Visitor;TRUE;FALSE
4;38.5;0;0;33;5.838.333.333;0.002631579;0.007894737;0;0;Mar;2;2;4;3;Returning_Visitor;TRUE;FALSE
1;19;0;0;40;1.361.166.667;0.005;0.0225;0;0;Mar;4;1;2;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;5;53;0.04;0.08;0;0;Mar;2;5;2;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;13;255;0;0.015384615;0;0;Mar;2;4;1;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;221.5;0;0.05;0;0;Mar;3;2;3;10;Returning_Visitor;TRUE;FALSE
0;0;0;0;12;323;0.033333333;0.066666667;0;0;Mar;2;2;1;3;Returning_Visitor;TRUE;FALSE
12;3.114.090.909;0;0;96;42.334.807;0.006635802;0.027174712;3.541.145.833;0;Mar;2;4;1;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;0;0.2;0.2;0;0;Mar;3;2;6;1;Returning_Visitor;TRUE;FALSE
3;14;0;0;27;1.585.666.667;0.026666667;0.058333333;0;0;Mar;2;2;6;1;Returning_Visitor;TRUE;FALSE
0;0;1;15;25;1235.65;0.041666667;0.05327381;0;0;Mar;1;1;1;3;Returning_Visitor;TRUE;FALSE
6;8.733.333.333;0;0;62;1.470.853.037;0;0.009683372;0;0;Mar;2;4;6;3;Returning_Visitor;TRUE;FALSE
3;68;1;103;10;808.5;0;0.015384615;3.599.261.538;0;Mar;2;2;3;7;Returning_Visitor;TRUE;TRUE
3;68.5;0;0;37;1.121.205.556;0.005405405;0.00113798;0;0;Mar;1;1;1;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;3;234;0;0.033333333;0;0;Mar;1;2;1;2;Returning_Visitor;TRUE;FALSE
6;176.25;12;404;41;2.720.671.429;0.012962963;0.033262108;8.833.825.926;0;Mar;2;2;2;2;Returning_Visitor;TRUE;TRUE
3;1.186.666.667;0;0;17;694;0.003703704;0.008333333;2.745.138.186;0;Mar;3;2;1;2;Returning_Visitor;TRUE;TRUE
2;102;0;0;16;5.028.333.333;0;0.004444444;0;0;Mar;3;2;4;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;37;1.643.435.516;0.005555556;0.032271242;2.188.718.519;0;Mar;2;4;3;2;Returning_Visitor;TRUE;TRUE
3;86;0;0;22;1.187.833.333;0.009090909;0.027272727;0;0;Mar;3;2;3;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;45;1.594.283.333;0;0.015227273;454.316.713;0;Mar;2;2;1;2;Returning_Visitor;TRUE;TRUE
0;0;0;0;2;5;0;0.1;0;0;Mar;2;2;1;13;Returning_Visitor;TRUE;FALSE
0;0;0;0;54;135.761.783;0;0.004812274;0;0;Mar;2;2;2;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;9;389;0;0.011111111;0;0;Mar;2;2;3;3;Returning_Visitor;TRUE;FALSE
4;56.5;0;0;8;2.021.666.667;0;0.01;0;0;Mar;3;2;1;8;New_Visitor;TRUE;FALSE
0;0;0;0;12;6.892.857.143;0;0.058333333;0;0;Mar;3;2;3;1;Returning_Visitor;TRUE;FALSE
3;68;0;0;8;306;0;0.008888889;0;0;Mar;1;1;9;3;New_Visitor;TRUE;FALSE
0;0;0;0;19;4.916.666.667;0.011111111;0.012222222;0;0;Mar;1;1;1;6;Returning_Visitor;TRUE;FALSE
1;1.966.666.667;0;0;14;5.121.111.111;0.028571429;0.03;0;0;Mar;3;2;3;9;Returning_Visitor;TRUE;FALSE
1;13;0;0;15;317;0;0.006666667;0;0;Mar;2;2;1;2;New_Visitor;TRUE;FALSE
2;4.544.444.444;1;4.066.666.667;57;8.516.426.534;0;0.007923497;3.077.836.066;0;Mar;2;4;3;1;Returning_Visitor;TRUE;TRUE
0;0;0;0;12;1.672.222.222;0;0.001666667;0;0;Mar;3;2;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;22;0;0.05;0;0;Mar;1;1;3;15;Returning_Visitor;TRUE;FALSE
8;1.251.666.667;0;0;27;1802.25;0.006060606;0.011774152;0;0;Mar;3;2;1;8;Returning_Visitor;TRUE;FALSE
5;1.009.166.667;0;0;56;1.432.223.333;0;0.002185792;6.943.043.195;0;Mar;2;2;3;3;Returning_Visitor;TRUE;TRUE
7;60;3;23;111;2.524.501.905;0.001694915;0.018834175;6.445.051.499;0;Mar;3;2;1;2;Returning_Visitor;TRUE;FALSE
3;49.5;1;29.May;45;1545.5;0;0.004;2.097.144;0;Mar;2;4;3;8;Returning_Visitor;TRUE;TRUE
0;0;0;0;8;332;0;0.028571429;0;0;Mar;3;2;1;8;New_Visitor;TRUE;FALSE
4;178.2;0;0;9;368.2;0.02;0.05;0;0;Mar;3;2;8;3;Returning_Visitor;TRUE;FALSE
4;359.3;4;407;69;5.485.105.556;0.010526316;0.017493734;4.494.741.228;0;Mar;1;1;2;1;Returning_Visitor;TRUE;TRUE
0;0;0;0;8;450;0;0.025;0;0;Mar;4;1;9;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;6;319;0;0.05;0;0;Mar;1;1;6;1;Returning_Visitor;TRUE;FALSE
2;41.5;2;60.5;21;534.5;0.004347826;0.02173913;0;0;Mar;2;2;2;13;Returning_Visitor;TRUE;FALSE
0;0;0;0;14;875;0;0.014285714;0;0;Mar;1;1;1;3;Returning_Visitor;TRUE;FALSE
3;42;0;0;31;3.121.369.048;0.002857143;0.009285714;0;0;Mar;1;1;3;1;Returning_Visitor;TRUE;FALSE
2;4.866.666.667;0;0;48;3.726.333.333;0;0.004166667;0;0;Mar;3;2;1;9;Returning_Visitor;TRUE;FALSE
0;0;0;0;38;6.671.666.667;0;0.005263158;0;0;Mar;2;2;4;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;50;1.803.768.849;0.001360544;0.017428305;3.609.398.514;0;Mar;2;4;7;3;Returning_Visitor;TRUE;TRUE
7;159.5;0;0;14;249;0.011764706;0.041176471;0;0;Mar;1;1;3;2;Returning_Visitor;TRUE;FALSE
1;5;0;0;13;271;0;0.003571429;0;0;Mar;1;1;2;2;New_Visitor;TRUE;FALSE
0;0;0;0;4;173.5;0;0.05;0;0;Mar;3;3;4;3;Returning_Visitor;TRUE;FALSE
2;48;0;0;51;1.671.375;0.001098901;0.016433566;0;0;Mar;2;2;1;6;Returning_Visitor;TRUE;FALSE
0;0;0;0;11;1.390.166.667;0.012121212;0.014545455;0;0;Mar;1;1;1;3;Returning_Visitor;TRUE;FALSE
7;1.593.333.333;0;0;24;5.206.666.667;0;0.006666667;0;0;Mar;2;10;4;3;New_Visitor;TRUE;FALSE
11;2.127.416.667;3;104;71;1.678.905.125;0;0.016037881;8.600.043.095;0;Mar;3;2;8;13;Returning_Visitor;TRUE;FALSE
0;0;0;0;29;4.388.666.667;0;0.020689655;0;0;Mar;4;2;3;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;7;203.5;0;0.033333333;0;0;Mar;1;1;1;9;New_Visitor;TRUE;FALSE
2;44;0;0;16;672.5;0.005555556;0.025925926;0;0;Mar;2;2;4;2;Returning_Visitor;TRUE;FALSE
9;140.5;0;0;35;1.090.490.476;0.013675214;0.016892552;0;0;Mar;1;1;3;2;Returning_Visitor;TRUE;FALSE
4;56;1;88;22;1.734.780.952;0;0.010142857;0;0;Mar;3;2;3;9;Returning_Visitor;TRUE;FALSE
1;0;0;0;17;6.849.166.667;0.015686275;0.049411765;0;0;Mar;2;6;4;1;Returning_Visitor;TRUE;FALSE
3;74;2;26;53;8.935.111.111;0.003571429;0.005357143;4.461.199.852;0;Mar;1;1;4;9;Returning_Visitor;TRUE;TRUE
2;140;0;0;6;130;0;0.025;0;0;Mar;1;1;4;2;New_Visitor;TRUE;FALSE
7;301.7;6;336.5;42;1.981.016.667;0.005660377;0.021383648;1.300.183.962;0;Mar;1;1;2;2;Returning_Visitor;TRUE;TRUE
0;0;0;0;8;186.5;0;0.025;0;0;Mar;2;2;3;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;6;119;0;0.033333333;0;0;Mar;3;2;7;1;Returning_Visitor;TRUE;FALSE
3;421;0;0;4;110.5;0;0.011111111;0;0;Mar;3;2;8;2;New_Visitor;TRUE;FALSE
5;193;1;13;66;2.049.458.471;0.004489796;0.012765306;2.945.815.149;0;Mar;3;2;3;1;Returning_Visitor;TRUE;FALSE
1;3;0;0;11;2.717.166.667;0;0.016666667;0;0;Mar;4;1;3;2;Returning_Visitor;TRUE;FALSE
5;4.218.181.818;0;0;12;2.311.818.182;0;0.01;0;0;Mar;2;2;1;2;New_Visitor;TRUE;FALSE
3;132.5;0;0;36;1.567.966.667;0;0.007207207;0;0;Mar;3;3;2;8;Returning_Visitor;TRUE;FALSE
7;1.636.666.667;0;0;8;1.193.333.333;0.015384615;0.023076923;0;0;Mar;3;2;6;11;New_Visitor;TRUE;FALSE
2;83;0;0;15;6.058.857.143;0;0.005882353;0;0;Mar;1;1;3;2;Returning_Visitor;TRUE;FALSE
3;95;0;0;27;808.7;0.006896552;0.010344828;0;0;Mar;3;2;7;3;Returning_Visitor;TRUE;FALSE
3;60;0;0;19;494.5;0;0.01;0;0;Mar;1;1;3;9;Returning_Visitor;TRUE;FALSE
5;55.5;0;0;63;1.656.316.667;0.004166667;0.015989583;0;0;Mar;2;2;2;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;7;182;0.028571429;0.071428571;0;0;Mar;3;2;1;13;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;13;0.1;0.1;0;0;Mar;1;1;2;1;Returning_Visitor;TRUE;FALSE
4;1.361.904.762;0;0;27;5.203.333.333;0;0.020322581;8.497.935.484;0;Mar;3;2;4;2;Returning_Visitor;TRUE;FALSE
2;14;0;0;31;754.5;0;0.00625;0;0;Mar;2;2;1;8;Returning_Visitor;TRUE;FALSE
6;352.5;0;0;21;6.966.666.667;0;0.0125;7.506.781.572;0;Mar;2;2;6;10;New_Visitor;TRUE;TRUE
5;92.75;1;74.75;84;2.756.215.152;0;0.002462121;0;0;Mar;2;2;9;3;New_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;2;4;1;1;Returning_Visitor;TRUE;FALSE
8;274.5;0;0;24;5.155.757.576;0;0.003703704;0;0;Mar;3;2;2;2;Returning_Visitor;TRUE;FALSE
3;64.5;0;0;35;1.334.551.371;0;0.007309582;0;0;Mar;3;2;4;2;Returning_Visitor;TRUE;FALSE
1;4;2;102;31;6.245.833.333;0.016216216;0.031531532;8.708.324.324;0;Mar;2;2;3;13;Returning_Visitor;TRUE;FALSE
0;0;0;0;10;316.5;0;0.025;17.538;0;Mar;2;4;1;8;New_Visitor;TRUE;TRUE
1;98.5;0;0;5;436.5;0;0.016666667;0;0;Mar;7;1;1;2;New_Visitor;TRUE;FALSE
3;106.75;0;0;5;1.373.333.333;0;0.005;0;0;Mar;3;2;1;2;New_Visitor;TRUE;FALSE
5;2.416.666.667;5;229;38;1.054.944.444;0.010869565;0.014565217;8.224.168.543;0;Mar;2;4;3;2;Returning_Visitor;TRUE;FALSE
1;47;0;0;5;388;0;0.04;31.188;0;Mar;1;1;7;3;Returning_Visitor;TRUE;TRUE
0;0;0;0;10;253.5;0;0.022222222;63.588;0;Mar;1;1;1;2;New_Visitor;TRUE;TRUE
3;152.5;5;243.5;43;3.065.945.238;0;0.011666667;331.108;0;Mar;1;2;1;1;Returning_Visitor;TRUE;TRUE
0;0;0;0;2;30;0;0.05;0;0;Mar;3;2;1;9;Returning_Visitor;TRUE;FALSE
0;0;0;0;3;52;0;0.066666667;0;0;Mar;2;5;8;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;9;250.5;0;0.044444444;0;0;Mar;3;2;7;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;13;281.547.619;0.003846154;0.017307692;0;0;Mar;1;1;2;2;Returning_Visitor;TRUE;FALSE
1;12;0;0;13;2004.5;0.028571429;0.04047619;0;0;Mar;1;1;6;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;6;100;0;0.033333333;0;0;Mar;2;2;4;6;Returning_Visitor;TRUE;FALSE
2;77.5;3;92;18;3.412.916.667;0;0.009090909;0;0;Mar;1;1;1;2;New_Visitor;TRUE;FALSE
0;0;0;0;6;9.733.333.333;0;0.041666667;0;0;Mar;1;2;1;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;1;1;7;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;3;2;3;9;Returning_Visitor;TRUE;FALSE
5;29;0;0;4;12;0;0.033333333;0;0;Mar;4;1;1;8;New_Visitor;TRUE;FALSE
0;0;0;0;4;148.5;0.05;0.083333333;0;0;Mar;1;1;1;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;6;53;0;0.06;0;0;Mar;2;2;7;3;Returning_Visitor;TRUE;FALSE
